channel_id,category_id,channel_name,channel_name_en,channel_image,channel_url,channel_referer,channel_agent,channel_origin,need_vpn,for_iran,popular,isvip,category_name,category_name_en,channel_headers,sourses
104,1,فان پلاس,Fun Plus,1782140219534.jpg,https://cp12.adabmedia.com/hls/funplus/stream.m3u8,https://mytvsat.tv,,,0,1,170184010,0,سرگرمی,Entertainment,,"[{'ID': 438, 'title': 'سرورمناسب ایران', 'channel_url': 'https://cp12.adabmedia.com/hls/funplus/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': 'https://mytvsat.tv', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 536, 'title': 'سرورمناسب ایران۲', 'channel_url': 'http://46.245.122.7:8080/hls/funplus/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}]"
89,20,جم سریس,Gem Series,1782140219559.png,https://main.ardanmi.com/live/x8QUkB2h6eVJE7N_PV37Wg__/master.m3u8,https://salmal1000.com/,,https://salmal1000.com,0,1,162767450,0,شبکه های جم,GEM TV Networks,,"[{'ID': 909, 'title': 'سرورخارج', 'channel_url': 'https://gg.hls2.xyz/live/IR%20-%20GEM%20Series%202/playlist.m3u8', 'channel_referer': 'https://www.aparatchii.com/', 'channel_origin': 'https://www.aparatchii.com', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}, {'ID': 8, 'title': 'سرورمناسب ایران۱', 'channel_url': 'https://cp12.adabmedia.com/hls/live1/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 541, 'title': 'سرورمناسب ایران۲', 'channel_url': 'http://46.245.122.7:8080/hls/live1/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 16, 'title': 'سرورمناسب خارج۱', 'channel_url': 'https://main.ardanmi.com/live/x8QUkB2h6eVJE7N_PV37Wg__/master.m3u8', 'channel_referer': 'https://salmal1000.com/', 'channel_origin': 'https://salmal1000.com', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}, {'ID': 526, 'title': 'سرورمناسب خارج۲', 'channel_url': 'https://10g.vitarani.com/live/yWtQs_Lt_4fR2ve8TiWXJg__/master.m3u8', 'channel_referer': 'https://salmal1000.com/', 'channel_origin': 'https://salmal1000.com', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}]"
112,17,ایران اینترنشنال,Iran International,1782140219578.png,https://d234zyvf3b6a4t.cloudfront.net/out/v1/abe3211a88b84dafa7a48b8fb2678895/index.m3u8,https://d234zyvf3b6a4t.cloudfront.net,,https://www.elahmad.com,1,1,115681303,0,اخبار,News,,"[{'ID': 33, 'title': 'سرور1', 'channel_url': 'https://d234zyvf3b6a4t.cloudfront.net/out/v1/abe3211a88b84dafa7a48b8fb2678895/index.m3u8', 'channel_referer': '', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 34, 'title': 'سرور2 (نیازبه فیلترشکن)', 'channel_url': 'https://dev-live.livetvstream.co.uk/LS-63503-4/index.m3u8', 'channel_referer': 'https://salintv.com/', 'channel_origin': 'https://salintv.com', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}, {'ID': 35, 'title': 'سرور3 (نیازبه فیلترشکن)', 'channel_url': 'https://live.playstop.me/LS-63503-4/index.m3u8', 'channel_referer': 'http://sal2060.online/', 'channel_origin': '', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}, {'ID': 42, 'title': 'سرور4 (نیازبه فیلترشکن)', 'channel_url': 'https://live.playstop.me/1816184091/chunklist_b1196000.m3u8', 'channel_referer': 'https://www.aparatchi.com/', 'channel_origin': '', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}, {'ID': 43, 'title': 'سرور5 (نیازبه فیلترشکن)', 'channel_url': 'https://1681299670.rsc.cdn77.org/LS-63503-4/index.m3u8', 'channel_referer': '', 'channel_origin': '', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}, {'ID': 507, 'title': 'سرورمناسب ایران', 'channel_url': 'https://hlspackager.akamaized.net/live/DB/IRAN_INTERNATIONAL/HLS/IRAN_INTERNATIONAL.m3u8', 'channel_referer': '', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}]"
120,18,موزیک ویدیو 24,Music24,1782140219648.png,https://cp12.adabmedia.com/hls/MusicVideo24/stream.m3u8,https://mytvsat.tv,,,0,1,115674930,0,موزیک,Music,,"[{'ID': 558, 'title': 'سرورمناسب ایران۱', 'channel_url': 'https://cp12.adabmedia.com/hls/MusicVideo24/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 559, 'title': 'سرورمناسب ایران۲', 'channel_url': 'http://46.245.122.7:8080/hls/MusicVideo24/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}]"
103,18,رادیو جوان,Radio Javan,1782140219477.png,https://rjtvhls.wns.live/hls/stream.m3u8,https://salmal1000.com/,,https://salmal1000.com,0,1,115673930,0,موزیک,Music,,"[{'ID': 542, 'title': 'سرورمناسب ایران۱', 'channel_url': 'https://cp12.adabmedia.com/hls/rjavan/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 543, 'title': 'سرورمناسب ایران۲', 'channel_url': 'http://46.245.122.7:8080/hls/rjavan/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 81, 'title': 'سرورمناسب خارج۱', 'channel_url': 'https://rjtvhls.wns.live/hls/stream.m3u8', 'channel_referer': '', 'channel_origin': '', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}, {'ID': 215, 'title': 'سرورمناسب خارج۲', 'channel_url': 'https://main.ardanmi.com/live/f68qb6igy7HZAmy674vTDg__/master.m3u8', 'channel_referer': 'https://salmal1000.com/', 'channel_origin': 'https://salmal1000.com', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}, {'ID': 399, 'title': 'سرورمناسب خارج۳', 'channel_url': 'https://ca.onetvapi.win:8443/rjtvhls.wns.live/hls/stream.m3u8?token=onetv202', 'channel_referer': 'https://onetv.app/', 'channel_origin': '', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}]"
459,16,تونل زمان (خاطره ها),TunnelZaman TV,1722612066740.png,http://46.245.122.7:8080/hls/TunnelZaman/stream.m3u8,https://mytvsat.tv,,https://mytvsat.tv,0,1,102979309,0,فیلم و سریال,Movies & Series,,"[{'ID': 539, 'title': 'سرورمناسب ایران۱', 'channel_url': 'https://cp12.adabmedia.com/hls/TunnelZaman/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}]"
12,2,شبکه سه,Shabake 3,1782140219691.png,https://ncdn.telewebion.ir/tv3/live/playlist.m3u8,,,,0,1,102979209,0,سراسری,National,,"[{'ID': 10, 'title': 'سرور مناسب ایران ۱', 'channel_url': 'https://ncdn.telewebion.ir/tv3/live/playlist.m3u8', 'channel_referer': '', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 235, 'title': 'سرورمناسب ایران۲', 'channel_url': 'https://cp11.adabmedia.com/hls2/tv3test.m3u8', 'channel_referer': '', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 17, 'title': 'سرورمناسب خارج۱', 'channel_url': 'https://10g.vitarani.com/live/FP7oW6TLcI0Ok4bEXB1z7w__/master.m3u8', 'channel_referer': 'https://salmal1000.com/', 'channel_origin': 'https://salmal1000.com', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}]"
383,16,ام بی سی پرشیا,MBC Persia,1782140219640.png,https://hls.mbcpersia.live/hls/stream.m3u8,https://mbcpersia.live,,,0,1,95790983,0,فیلم و سریال,Movies & Series,,"[{'ID': 41, 'title': 'سرورمناسب ایران۱', 'channel_url': 'https://cp12.adabmedia.com/hls/mbpersia/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 544, 'title': 'سرورمناسب ایران۲', 'channel_url': 'http://46.245.122.7:8080/hls/mbpersia/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 55, 'title': 'سرورمناسب خارج', 'channel_url': 'https://hls.mbcpersia.live/hls/stream.m3u8', 'channel_referer': '', 'channel_origin': '', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}]"
106,1,راوی تیوی,Ravi TV,1782140219677.png,https://hls.ravitv.com/hls/stream.m3u8,https://ravitv.com/,,,0,1,94435452,0,سرگرمی,Entertainment,,"[{'ID': 459, 'title': 'سرورمناسب ایران۱', 'channel_url': 'https://cp12.adabmedia.com/hls/ravitv/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 546, 'title': 'سرورمناسب ایران۲', 'channel_url': 'http://46.245.122.7:8080/hls/ravitv/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}, {'ID': 417, 'title': 'سرورمناسب خارج', 'channel_url': 'https://hls.ravitv.com/hls/stream.m3u8', 'channel_referer': 'https://ravitv.com/', 'channel_origin': '', 'country': 'worldwide', 'isvip': 0, 'channel_headers': None}]"
894,16,شبکه خاطره,Khatereh TV,1782140219587.png,http://46.245.122.7:8080/hls/khatereh/stream.m3u8,https://mytvsat.tv,,https://mytvsat.tv,0,1,93327632,0,فیلم و سریال,Movies & Series,,"[{'ID': 561, 'title': 'سرورمناسب ایران۱', 'channel_url': 'https://cp12.adabmedia.com/hls/khatereh/stream.m3u8', 'channel_referer': 'https://mytvsat.tv', 'channel_origin': '', 'country': 'iran', 'isvip': 0, 'channel_headers': None}]"
